recipe_version,accord_id,accord_name,accord_category,note_id,note_name,layer,note_role,default_pct_in_accord,min_pct_in_accord,max_pct_in_accord,generation_basis
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0501,Rose Absolute,heart,support,30.53761075221504,18.322366447328946,42.752855057101144,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0509,Linalool,heart,support,17.268345366907337,10.361207224144483,24.175483509670194,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0492,Jasmine Absolute,heart,modifier,16.480329606592132,9.888197763955278,23.073461469229382,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0489,Aldehyde C-10,top,driver,12.810256205124102,7.686153723074461,17.935358707174142,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0474,Aldehyde C-11,top,driver,9.679193583871678,5.807116142322847,13.551271025420508,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0464,Aldehyde C-12 MNA,top,support,9.645192903858076,5.787115742314846,13.504270085401707,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0002,Aldehydic,Fresh,NOTE-0509,Linalool,top,support,3.5790715814316285,2.1480429608592173,5.01110022200444,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0484,Heliotropin,base,driver,13.542,8.125,18.959,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0496,Tonka Bean Absolute,base,support,9.123,5.474,12.772,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0456,Vanillin,base,support,6.771,4.063,9.479,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0134,Coumarin,base,support,5.987,3.592,8.382,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0536,Benzaldehyde,base,driver,4.577,2.746,6.408,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0536,Benzaldehyde,heart,driver,35.172,21.103,49.241,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0003,Almond,Gourmand,NOTE-0662,Anisaldehyde,heart,modifier,24.828,14.897,34.759,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0455,Labdanum Absolute,base,driver,17.66464670706586,10.598788024239516,24.729505409891804,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0455,Labdanum Absolute,base,driver,16.50766984660307,9.90480190396192,23.110537789244216,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0456,Vanillin,base,driver,14.131717365652687,8.478830423391532,19.78360432791344,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0456,Vanillin,base,driver,12.164756704865901,7.298854022919542,17.030659386812264,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0457,Benzoin Siam,base,support,9.482810343793124,5.689886202275955,13.275734485310293,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0631,Cetalox,base,modifier,8.242835143297135,4.94590108197836,11.540769184616309,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0457,Benzoin Siam,base,support,7.251854962900742,4.350912981740366,10.151796964060718,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0021,Ambroxan,base,modifier,7.065858682826343,4.238915221695566,9.89180216395672,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0458,Patchouli Alcohol,base,modifier,4.214915701685967,2.5289494210115797,5.900881982360353,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0004,Amber,Amber,NOTE-0458,Patchouli Alcohol,base,support,3.272934541309174,1.9639607207855843,4.581908361832763,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0005,Animalic,Animalic,NOTE-0609,Muscone,base,driver,13.34,8.004,18.676,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0005,Animalic,Animalic,NOTE-0610,Civetone,base,driver,9.375,5.625,13.125,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0005,Animalic,Animalic,NOTE-0611,Castoreum Absolute,base,support,6.592,3.955,9.228,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0005,Animalic,Animalic,NOTE-0615,Costus Oil,base,support,5.713,3.428,7.998,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0005,Animalic,Animalic,NOTE-0455,Labdanum Absolute,base,modifier,4.98,2.988,6.973,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0005,Animalic,Animalic,NOTE-0653,Indole,heart,support,60.0,36.0,84.0,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0641,Ambrocenide,base,support,21.803,13.082,30.525,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0475,Seaweed Absolute,base,support,8.197,4.918,11.475,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0639,Helional,heart,driver,22.143,13.286,31.0,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0497,Calone,heart,driver,14.608,8.765,20.451,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0193,Hedione,heart,modifier,8.249,4.95,11.549,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0640,Melonal,top,support,12.519,7.512,17.527,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0007,Aquatic,Fresh,NOTE-0497,Calone,top,driver,12.481,7.488,17.473,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0008,Aromatic,Aromatic,NOTE-0558,Thyme Oil,heart,support,30.09969900300997,18.059819401805978,42.13957860421396,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0008,Aromatic,Aromatic,NOTE-0451,Clary Sage Oil,heart,modifier,17.97782022179778,10.78689213107869,25.168748312516875,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0008,Aromatic,Aromatic,NOTE-0636,Sage Oil,heart,support,16.207837921620783,9.72490275097249,22.690773092269076,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
v0.1-auto,ACC-0008,Aromatic,Aromatic,NOTE-0499,Lavender Oil,top,driver,17.31982680173198,10.391896081039189,24.247757522424777,"importance*presence*compatibility; layer totals top25/heart45/base30; split top/heart, heart/base"
